[2018-05-26 18:00:07] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:00:30] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:03:21] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:03:22] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [10029056]
[2018-05-26 18:03:22] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-8395008]
[2018-05-26 18:03:22] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-16787712]
[2018-05-26 18:03:22] | CInterfaceManager.cpp-L1208: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-05-26 18:03:22] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-05-26 18:03:22] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-05-26 18:06:11] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:06:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [10029056]
[2018-05-26 18:06:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1686116608]
[2018-05-26 18:06:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1694509312]
[2018-05-26 18:09:38] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:09:39] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [10029056]
[2018-05-26 18:09:39] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-28457216]
[2018-05-26 18:09:39] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-36849920]
[2018-05-26 18:10:24] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:10:25] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [10029056]
[2018-05-26 18:10:25] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1850427648]
[2018-05-26 18:10:25] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1858820352]
[2018-05-26 18:11:18] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:11:19] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [10029056]
[2018-05-26 18:11:19] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1283463424]
[2018-05-26 18:11:19] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1291856128]
[2018-05-26 18:29:25] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-26 18:29:26] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [10029056]
[2018-05-26 18:29:26] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1504852224]
[2018-05-26 18:29:26] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1513244928]
[2018-05-27 00:21:24] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-27 00:21:25] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [15042560]
[2018-05-27 00:21:25] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1566943488]
[2018-05-27 00:21:25] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1575336192]
[2018-05-27 00:24:34] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-27 00:24:35] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [15042560]
[2018-05-27 00:24:35] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-659081472]
[2018-05-27 00:24:35] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-738199808]
[2018-05-27 00:25:32] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-27 00:25:33] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [15042560]
[2018-05-27 00:25:33] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[334079744]
[2018-05-27 00:25:33] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[325687040]
[2018-05-27 00:26:57] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-05-27 00:26:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [15042560]
[2018-05-27 00:26:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-761637120]
[2018-05-27 00:26:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-770029824]
