[2018-05-26 18:00:07] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:00:07] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:07] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:07] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[48299], devIP[c0a80169]
[2018-05-26 18:00:07] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-26 18:00:07] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:07] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:00:08] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:30] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:00:30] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:30] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:30] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[49221], devIP[c0a80169]
[2018-05-26 18:00:30] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-26 18:00:30] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:00:30] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:00:30] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:03:21] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:03:21] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:03:21] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:03:21] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[44071], devIP[c0a80169]
[2018-05-26 18:03:21] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-26 18:03:21] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:03:21] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:03:21] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:03:22] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-26 18:03:22] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-2304]
[2018-05-26 18:03:22] |   GigEVisionGVSP.cpp-L0380: gvsp recv thread stop
[2018-05-26 18:03:22] | GigEVisionManager.cpp-L2289: AppGetCount[2], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-05-26 18:03:22] | GigEVisionManager.cpp-L2289: AppGetCount[2], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-05-26 18:03:22] | GigEVisionManager.cpp-L0904: disconnect device ...
[2018-05-26 18:03:22] | GigEVisionManager.cpp-L2289: AppGetCount[2], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-05-26 18:03:22] | GigEVisionManager.cpp-L2826: event thread stop
[2018-05-26 18:03:23] |   GigEVisionGVSP.cpp-L0420: [socket] NearBID[0], LastBID[0d], output[0]
[2018-05-26 18:06:11] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:06:11] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:06:11] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:06:11] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[60966], devIP[c0a80169]
[2018-05-26 18:06:11] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-26 18:06:11] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:06:11] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:06:11] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:06:12] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-26 18:06:12] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-1677723904]
[2018-05-26 18:09:38] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-26 18:09:38] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:09:38] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:09:38] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[48690], devIP[c0a80169]
